10 1
20 2
30 4
40 6
50 8
60 9
70 12
80 13
90 15
100 19
110 19
120 20
130 23
140 25
150 27
160 31
170 33
180 34
190 36
200 39
210 40
220 41
230 94
240 52
250 52
260 55
270 58
280 59
290 61
300 61
